Year,Prop in niche,Prop in niche (Gaussian centered),Prop in niche (linear lagged)
381,0.5099641577060932,0.532869739851241,0.456214991698863
382,0.4367025089605735,0.521812399571227,0.49687784139397
383,0.232831541218638,0.516761750364388,0.473337988176698
384,0.596415770609319,0.518732342251535,0.46847895234992
385,0.026953405017921147,0.522839949140175,0.505196977455042
386,0.7333333333333333,0.527919782910786,0.486736489317134
387,0.5218637992831541,0.532003904222405,0.487717109652593
388,0.8481720430107527,0.536480362768805,0.518648233486943
389,0.8153405017921147,0.536846616706719,0.525336933078869
390,0.6980645161290323,0.532653499581528,0.550821890176729
391,0.5509677419354839,0.531931671238175,0.602662570404506
392,0.09046594982078852,0.521842349296581,0.594248475538798
393,0.5700358422939068,0.51305030379239,0.567394373845987
394,0.7025089605734767,0.508306933916012,0.557680646712905
395,0.6295340501792115,0.49483769520158,0.540460829493088
396,0.3263082437275986,0.490349590852088,0.544016509177799
397,0.4771326164874552,0.485318118672659,0.520883799593477
398,0.48057347670250894,0.487383497429939,0.505096432838368
399,0.1207168458781362,0.489918069295849,0.506821828112151
400,0.23684587813620073,0.501877665526977,0.492037424940651
401,0.7660215053763441,0.515696172461803,0.499838942419588
402,0.19297491039426523,0.538245638906864,0.497001349904576
403,0.5921146953405018,0.568596820138075,0.501496687303139
404,0.9409318996415771,0.595789247779004,0.527591118558861
405,0.2999283154121864,0.623553967633963,0.519348942574749
406,0.6653763440860215,0.647526031361695,0.565639808220453
407,0.9459498207885305,0.672228727084309,0.548634734441186
408,0.8941935483870967,0.69525192196896,0.552465980853078
409,0.6265232974910394,0.711623046389518,0.525673323092678
410,0.9339068100358423,0.722966589167905,0.50237862495927
411,0.4418637992831541,0.729671154566275,0.488636286055641
412,0.8564874551971327,0.725058968749552,0.489588977330913
413,0.9648745519713262,0.715514312646844,0.536190786513367
414,0.8688172043010752,0.697861172798379,0.540488758553275
415,0.8597849462365591,0.673750163472324,0.533424568263278
416,0.4073118279569892,0.648987092882972,0.532032459774395
417,0.5402150537634408,0.618346232731155,0.559132337196853
418,0.902078853046595,0.586583105024006,0.574360502102438
419,0.5853763440860215,0.557000458916435,0.589729553600521
420,0.3263082437275986,0.531990353516469,0.638702850315754
421,0.6382795698924731,0.509750712730502,0.678856770469674
422,0.4488888888888889,0.496054498883592,0.669530946950302
423,0.013333333333333334,0.488379265038041,0.711522599264535
424,0.2678136200716846,0.48578195776922,0.715824915824916
425,0.400573476702509,0.492719438721276,0.686077363496718
426,0.21921146953405019,0.508489560493057,0.714253440705054
427,0.4206451612903226,0.53265530621094,0.708147527502366
428,0.7017921146953405,0.559660805277517,0.675477974832814
429,0.7472401433691757,0.584956134989079,0.646877375909634
430,0.7158422939068101,0.61285036274196,0.64299709848097
431,0.8248028673835125,0.636193780672029,0.61070055392636
432,0.6401433691756272,0.655545830070011,0.623993545283868
433,0.9201433691756272,0.66810389248704,0.599869043740011
434,0.607741935483871,0.679053013100123,0.564345141119335
435,0.6665232974910394,0.682617974358004,0.536677993452187
436,0.8154838709677419,0.67964858453545,0.509640180607923
437,0.705089605734767,0.669053167127371,0.525025368896337
438,0.7992831541218638,0.658154052172024,0.529449952675759
