Year,Average prod (kg/ha),Average prod (Gaussian centered),Average prod (linear lagged)
1020,229.22489113639557,209.506582466146,181.131811006337
1021,242.01729526618908,212.254137686376,182.030170580344
1022,233.33683628318585,215.019901265316,182.890517396285
1023,190.79348398651496,216.851133440682,186.285265058021
1024,248.50711125158028,217.666188192645,183.69001373679
1025,232.12169897457508,217.568861497367,180.099932372609
1026,219.47588319988762,216.47201444875,185.668682490427
1027,229.10475488130356,214.740677396146,191.403621770957
1028,224.04748735777497,212.15244451834,187.879719171122
1029,187.37771281078804,209.483048810646,188.202347393324
1030,217.3667913330524,206.250720987825,192.753783394112
1031,173.07709123472398,202.494673316829,194.807323049896
1032,234.43482230650372,199.397180189107,198.987071439821
1033,215.2267874701503,195.880453553766,202.70399262324
1034,185.241132883832,193.413128036847,206.685377190118
1035,165.42719307487008,190.625948805621,211.913883393261
1036,173.3925059699396,188.780182103063,214.219182828222
1037,185.3023598820059,187.499976345423,214.99117773059
1038,148.70267944936086,186.132952215153,215.77768979452
1039,185.74573324905182,185.535874706924,217.404581795622
1040,184.21886852085967,186.319889163602,216.337007574997
1041,158.3798900828768,187.085776566556,213.8243469932
1042,237.7363569321534,188.81206836053,210.130208380841
1043,161.14428817249615,190.194874142764,206.912680550007
1044,215.55414208456244,191.824456960169,207.669919196784
1045,192.43775460036522,193.652375610967,202.93773996816
1046,215.11773949992977,195.459837590897,199.621533459634
1047,196.32719658659923,197.622199951309,197.354735802429
1048,140.89600014046917,199.837655686522,193.830730093056
1049,176.51072833263098,202.206439873444,190.560689141125
1050,244.14283080488832,204.336531858985,190.870000498635
1051,220.09798602331787,206.518288225321,188.464855344122
1052,240.1212687877511,208.804093090674,190.376281097046
1053,221.94524336283186,210.156696616971,186.655663856675
1054,197.15761518471695,211.879753911465,184.603010076382
1055,183.63599171231914,213.547685645362,185.269376231766
1056,177.45203855878634,214.823245327091,187.789065250665
1057,236.38165472678747,215.308443737785,189.857315213115
1058,247.40961687034695,215.577950686766,191.111713767924
1059,227.1655868099452,215.751814307817,196.033022264059
1060,237.8388467481388,214.607948018822,197.812291728616
1061,233.9808786346397,212.034175848826,199.945787034757
1062,221.70828943671864,210.004368698553,204.702429295666
1063,198.34316617502458,206.94202118975,202.074314004229
1064,180.3170476892822,203.792968138562,206.492113013526
1065,247.06789050428432,201.16293141673,206.099984820513
1066,194.17370768366342,198.779930934018,207.816861347203
1067,167.7510447394297,196.471173348119,207.266870438173
1068,177.91227700519735,193.914508203983,208.345392436495
1069,184.67926499508357,192.096160340318,214.652652054833
1070,157.22902619749965,191.908707627199,217.638738538233
1071,141.0534485180503,192.29548257214,214.030177687415
1072,231.6124016715831,192.973379110768,212.657357771928
1073,177.17062614131197,193.784661226912,209.19172581878
1074,186.16240869504145,195.183130096442,207.223555767171
1075,233.33471168703468,196.886984757299,207.665417266397
1076,231.15062684365782,198.152614827746,209.542208324288
1077,198.13500842815003,199.903249264256,212.070713607692
1078,173.53597766540244,201.700840674381,208.969921849584
1079,189.69560331507233,203.165057200242,204.616743863899
1080,257.12665051271244,203.074772002669,202.233633821813
1081,231.48502247506673,203.04684247193,198.852721688926
1082,182.16249648827082,202.892283071476,195.598211929359
1083,146.8919177553027,201.422215294614,193.135511699987
1084,182.65062684365782,200.302788211109,192.728980514616
1085,208.87686999578594,198.731159408233,194.084822967803
1086,231.9857423795477,196.522095266397,189.307116298741
1087,239.51348504003371,193.792655851351,189.534247796732
1088,240.1274757690687,191.669408378838,192.476757445626
1089,231.36973240623684,189.21415913972,194.726936262572
1090,101.54968218850962,186.31897536593,196.002066029326
1091,141.54693426042982,183.299894579511,199.704784206523
1092,168.04315915156624,181.861281982799,204.994848019658
1093,152.97228367748278,181.501113118239,201.711846316698
1094,176.73273107177974,182.056565902057,203.376201285019
1095,183.05753090321673,183.073787205076,204.209680446327
1096,193.0991273352999,184.838073198985,200.580588407706
1097,161.80981352718078,187.656957062622,196.849872855641
1098,220.31698623402164,191.492809891077,196.216603037479
1099,174.27490693917684,195.286392916989,197.822807571227
1100,151.29441459474646,200.052256454731,197.793716315524
1101,178.8274160696727,206.058716353973,191.295572135174
1102,257.5594184576485,211.808411959571,187.24136122224
1103,241.53061349908694,217.339632775975,187.92802114365
1104,227.50658449220396,222.693863705184,192.170078554797
1105,226.0335106756567,227.395583797545,193.349148922553
1106,232.8406465093412,231.985456449583,192.247754659654
1107,262.33311385025985,236.42575573205,189.176927718884
1108,271.59486936367466,240.791272680092,185.560640987869
1109,188.95163470993117,244.059751319455,181.666996480366
1110,242.88205857564265,247.407502837379,178.619347370217
1111,244.05028796179238,249.4741318704,187.990406746412
1112,272.2904638994241,251.498964884067,194.291341603684
1113,279.3058891698272,252.14375442675,198.665185583485
1114,260.11664208456244,252.92874721141,204.872937543212
1115,243.08304361567636,253.360157815989,209.207879620964
1116,270.04155253546844,252.332991020137,213.344394102058
1117,288.74126457367606,251.275690678484,216.982071406376
1118,276.96744627054363,249.760953718208,223.962749674823
1119,243.2694637589549,248.023043205586,225.723955435397
1120,242.68836037364798,246.228399103367,231.966966904309
1121,152.40536767804466,243.280771045388,240.303923361603
1122,255.36872278409888,240.437051189646,246.469227332928
1123,231.24885868801798,237.080269571635,245.363178014569
1124,275.09630039331364,233.48374936568,245.859598787222
1125,268.73518928220255,229.908435142678,247.809410096389
1126,174.6160187526338,226.503579513335,249.670550661938
